time,x,y,heading (rad),speed
0,0,0,1.5708,0
0.05,6.12323e-20,0.001,1.5708,0.02
0.1,1.83697e-19,0.003,1.5708,0.04
0.15,3.67394e-19,0.006,1.5708,0.06
0.2,6.12323e-19,0.01,1.5708,0.08
0.25,9.18485e-19,0.015,1.5708,0.1
0.3,1.28588e-18,0.021,1.5708,0.12
0.35,1.71451e-18,0.028,1.5708,0.14
0.4,2.20436e-18,0.036,1.5708,0.16
0.45,2.75546e-18,0.045,1.5708,0.18
0.5,3.36778e-18,0.055,1.5708,0.2
0.55,4.04133e-18,0.066,1.5708,0.22
0.6,4.77612e-18,0.078,1.5708,0.24
0.65,5.57214e-18,0.091,1.5708,0.26
0.7,6.4294e-18,0.105,1.5708,0.28
0.75,7.34788e-18,0.12,1.5708,0.3
0.8,8.3276e-18,0.136,1.5708,0.32
0.85,9.36855e-18,0.153,1.5708,0.34
0.9,1.04707e-17,0.171,1.5708,0.36
0.95,1.16341e-17,0.19,1.5708,0.38
1,1.28588e-17,0.21,1.5708,0.4
1.05,1.41447e-17,0.231,1.5708,0.42
1.1,1.54918e-17,0.253,1.5708,0.44
1.15,1.69001e-17,0.276,1.5708,0.46
1.2,1.83697e-17,0.3,1.5708,0.48
1.25,1.99005e-17,0.325,1.5708,0.5
1.3,2.14926e-17,0.351,1.5708,0.52
1.35,2.31458e-17,0.378,1.5708,0.54
1.4,2.48603e-17,0.406,1.5708,0.56
1.45,2.66361e-17,0.435,1.5708,0.58
1.5,2.8473e-17,0.465,1.5708,0.6
1.55,3.03712e-17,0.496,1.5708,0.62
1.6,3.23307e-17,0.528,1.5708,0.64
1.65,3.43513e-17,0.561,1.5708,0.66
1.7,3.64332e-17,0.595,1.5708,0.68
1.75,3.85764e-17,0.63,1.5708,0.7
1.8,4.07807e-17,0.666,1.5708,0.72
1.85,4.30463e-17,0.703,1.5708,0.74
1.9,4.53732e-17,0.741,1.5708,0.76
1.95,4.77612e-17,0.78,1.5708,0.78
2,5.02105e-17,0.82,1.5708,0.8
2.05,5.2721e-17,0.861,1.5708,0.82
2.1,5.52928e-17,0.903,1.5708,0.84
2.15,5.79258e-17,0.946,1.5708,0.86
2.2,6.062e-17,0.99,1.5708,0.88
2.25,6.33755e-17,1.035,1.5708,0.9
2.3,6.61922e-17,1.081,1.5708,0.92
2.35,6.90701e-17,1.128,1.5708,0.94
2.4,7.20092e-17,1.176,1.5708,0.96
2.45,7.50096e-17,1.225,1.5708,0.98
2.5,7.80712e-17,1.275,1.5708,1
2.55,8.11941e-17,1.326,1.5708,1.02
2.6,8.43782e-17,1.378,1.5708,1.04
2.65,8.76235e-17,1.431,1.5708,1.06
2.7,9.093e-17,1.485,1.5708,1.08
2.75,9.42978e-17,1.54,1.5708,1.1
2.8,9.77268e-17,1.596,1.5708,1.12
2.85,1.01217e-16,1.653,1.5708,1.14
2.9,1.04769e-16,1.711,1.5708,1.16
2.95,1.08381e-16,1.77,1.5708,1.18
3,1.12055e-16,1.83,1.5708,1.2
3.05,1.1579e-16,1.891,1.5708,1.22
3.1,1.19587e-16,1.953,1.5708,1.24
3.15,1.23444e-16,2.016,1.5708,1.26
3.2,1.27363e-16,2.08,1.5708,1.28
3.25,1.31343e-16,2.145,1.5708,1.3
3.3,1.35385e-16,2.211,1.5708,1.32
3.35,1.39487e-16,2.278,1.5708,1.34
3.4,1.43651e-16,2.346,1.5708,1.36
3.45,1.47876e-16,2.415,1.5708,1.38
3.5,1.52162e-16,2.485,1.5708,1.4
3.55,1.5651e-16,2.556,1.5708,1.42
3.6,1.60919e-16,2.628,1.5708,1.44
3.65,1.65389e-16,2.701,1.5708,1.46
3.7,1.6992e-16,2.775,1.5708,1.48
3.75,1.74512e-16,2.85,1.5708,1.5
3.8,1.79166e-16,2.926,1.5708,1.52
3.85,1.83881e-16,3.003,1.5708,1.54
3.9,1.88657e-16,3.081,1.5708,1.56
3.95,1.93494e-16,3.16,1.5708,1.58
4,1.98393e-16,3.24,1.5708,1.6
4.05,2.03353e-16,3.321,1.5708,1.62
4.1,2.08374e-16,3.403,1.5708,1.64
4.15,2.13456e-16,3.486,1.5708,1.66
4.2,2.18599e-16,3.57,1.5708,1.68
4.25,2.23804e-16,3.655,1.5708,1.7
4.3,2.2907e-16,3.741,1.5708,1.72
4.35,2.34397e-16,3.828,1.5708,1.74
4.4,2.39786e-16,3.916,1.5708,1.76
4.45,2.45236e-16,4.005,1.5708,1.78
4.5,2.50746e-16,4.095,1.5708,1.8
4.55,2.56319e-16,4.186,1.5708,1.82
4.6,2.61952e-16,4.278,1.5708,1.84
4.65,2.67647e-16,4.371,1.5708,1.86
4.7,2.73402e-16,4.465,1.5708,1.88
4.75,2.79219e-16,4.56,1.5708,1.9
